ticker,index,name
CNCE,RUSSELL2000,Concert Pharmaceuticals Inc
CNL,RUSSELL2000,Cleco Power Llc
CNMD,RUSSELL2000,Conmed Corp
CNO,RUSSELL2000,Cno Financial Group
CNOB,RUSSELL2000,Connectone Bancorp Inc
CNP,SP500,
CNS,RUSSELL2000,Cohn & Steers Inc
CNSL,RUSSELL2000,Consolidated Communications Holdings
CNX,SP500,
CNXR,RUSSELL2000,Connecture Inc
COB,RUSSELL2000,Community One Bancorp
COBZ,RUSSELL2000,Cobiz Financial Inc
COF,SP500,
COG,SP500,
COH,SP500,
COHR,RUSSELL2000,Coherent Inc
COHU,RUSSELL2000,Cohu Inc
COKE,RUSSELL2000,Coca-Cola Bottling Co. Consolidated
COL,SP500,
COLB,RUSSELL2000,Columbia Banking System
COLL,RUSSELL2000,Collegium Pharmaceutical Inc
COLM,RUSSELL2000,Columbia Sportswear Company
CONE,RUSSELL2000,Cyrusone Inc
CONN,RUSSELL2000,Conn's Inc
COP,SP500,
COR,RUSSELL2000,Coresite Realty Corp
CORE,RUSSELL2000,Core-Mark Holding Company
CORI,RUSSELL2000,Corium International Inc
CORR,RUSSELL2000,Corenergy Infrastructure Trust Inc
CORT,RUSSELL2000,Corcept Therapeutics Inc
COST,SP500,
COV,SP500,
COWN,RUSSELL2000,Cowen Group
CPB,SP500,
CPE,RUSSELL2000,Callon Petroleum Company
CPF,RUSSELL2000,Central Pacific Financial Co
CPHD,RUSSELL2000,Cepheid
CPK,RUSSELL2000,Chesapeake Utilities Corp
CPLA,RUSSELL2000,Capella Education Company
CPRX,RUSSELL2000,Catalyst Pharmaceutical Partners
CPS,RUSSELL2000,Cooper Std Hldg Inc
CPSI,RUSSELL2000,Computer Programs and Systems
CRAI,RUSSELL2000,Cra Internationalinc
CRAY,RUSSELL2000,Cray Inc
CRCM,RUSSELL2000,Care.Com Inc
CRD-B,RUSSELL2000,Crawford Co Cl B
CRIS,RUSSELL2000,Curis Inc
CRM,SP500,
CRMD,RUSSELL2000,Cormedix Inc
CRMT,RUSSELL2000,America's Car-Mart
CROX,RUSSELL2000,Crocs Inc
CRR,RUSSELL2000,Carbo Ceramics
CRS,RUSSELL2000,Carpenter Technology Corp
CRUS,RUSSELL2000,Cirrus Logic
CRVL,RUSSELL2000,Corvel Corp
CRWN,RUSSELL2000,Crown Media Holdings
CRY,RUSSELL2000,Cryolife
CRZO,RUSSELL2000,Carrizo Oil & Gas
CSBK,RUSSELL2000,Clifton Savings Bancorp
CSC,SP500,
CSCD,RUSSELL2000,Cascade Microtech
CSCO,SP500,
CSFL,RUSSELL2000,Centerstate Banks
CSGS,RUSSELL2000,Csg Systems International
CSH,RUSSELL2000,Cash America International
CSII,RUSSELL2000,Cardiovascular Systems
CSLT,RUSSELL2000,Castlight Health Inc
CSOD,RUSSELL2000,Cornerstone Ondemand Inc
CSS,RUSSELL2000,Css Industries
CSU,RUSSELL2000,Capital Senior Living Corp
CSV,RUSSELL2000,Carriage Services
CSX,SP500,
CTAS,SP500,
CTB,RUSSELL2000,Cooper Tire & Rubber Company
CTBI,RUSSELL2000,Community Trust Bancorp
CTCT,RUSSELL2000,Constant Contact
CTIC,RUSSELL2000,Cell Therapeutics
CTL,SP500,
CTLT,RUSSELL2000,Catalent Inc
CTO,RUSSELL2000,Consolidated-Tomoka Land Co
CTRE,RUSSELL2000,Caretrust REIT Inc
CTRL,RUSSELL2000,Control4 Corp
CTRN,RUSSELL2000,Citi Trends
CTS,RUSSELL2000,Cts Corp
CTSH,SP500,
CTT,RUSSELL2000,Catchmark Timber Trust Inc
CTWS,RUSSELL2000,Connecticut Water Service
CTXS,SP500,
CUB,RUSSELL2000,Cubic Corp
CUBE,RUSSELL2000,Cubesmart
CUBI,RUSSELL2000,Customers Bancorp
CUDA,RUSSELL2000,Barracuda Networks Inc
CUNB,RUSSELL2000,California United Bk
CUTR,RUSSELL2000,Cutera Inc
CUZ,RUSSELL2000,Cousins Properties Inc
CVBF,RUSSELL2000,Cvb Financial Corp
CVC,SP500,
CVCO,RUSSELL2000,Cavco Industries
CVEO,RUSSELL2000,Civeo Corporation Common Stock
CVG,RUSSELL2000,Convergys Corp
CVGI,RUSSELL2000,Commercial Vehicle Group
CVGW,RUSSELL2000,Calavo Growers
CVH,SP500,
CVLT,RUSSELL2000,Commvault Systems
CVRS,RUSSELL2000,Corindus Vascular Robotics Inc
CVS,SP500,
CVT,RUSSELL2000,Cvent Inc
CVTI,RUSSELL2000,Covenant Transportation Group
CVX,SP500,
CW,RUSSELL2000,Curtiss-Wright Corp
CWCO,RUSSELL2000,Consolidated Water Co. Ltd
CWEI,RUSSELL2000,Clayton Williams Energy
CWST,RUSSELL2000,Casella Waste Systems
CWT,RUSSELL2000,California Water Service Group Holding
CYNO,RUSSELL2000,Cynosure Inc
CYS,RUSSELL2000,Cys Investments Inc
CYTK,RUSSELL2000,Cytokinetics Inc
